Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, , 2, 3",,6,,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED3, LED4, LED5, LED6, LED7, LED8, LED9",SK6812-MINI-E,28,SK6803MINI-E-001,
"SW1, SW11_2, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW27, SW28, SW29, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Cherry_Choc5_MX_1.00u_PCB_circle,28,Blank,
